,10_6_5_11,9_6_5_11,purep53,JMS8-2,JMS8-3,JMS8-4,JMS8-5,JMS9-P7c,JMS9-P8c
28088,5292,6640,9046,7598,13572,8983,7194,3691,2972
270757,20,29,193,39,47,49,258,37,27
69754,722,800,1160,936,1543,990,918,537,467
27204,370,138,142,135,479,645,154,101,164
78170,1,0,0,0,0,1,0,0,1
21859,1228,1147,27374,34310,2861,3002,35940,1407,1176
100503291,1,0,0,0,0,0,0,1,0
627035,0,0,1,0,0,0,1,0,0
382395,0,0,0,0,0,0,0,0,0
66263,37,41,95,140,71,37,64,22,24
22027,22568,26747,81925,52347,61986,51589,67609,19785,22312
103220,94,170,128,90,293,235,191,152,100
103466,3352,1799,12379,10206,6245,7666,13277,1054,2080
192188,9,5,47,38,13,21,35,2,13
83559,0,0,2,0,0,0,0,0,0
76640,0,0,0,0,0,0,0,0,0
100038674,0,0,0,0,0,0,0,0,0
17172,0,0,5,15,0,1,3,0,0
18478,0,0,0,0,0,0,0,0,0
16000,50,116,118,95,255,306,235,60,71
100503785,0,0,0,0,0,0,0,0,0
22172,76,99,667,491,208,131,397,47,40
110312,0,0,3,2,0,1,3,0,1
75317,56,78,531,363,115,69,332,53,34
626115,0,0,7,4,2,0,4,1,0
69736,184,388,707,627,641,295,470,230,138
67282,549,862,1330,1281,1672,868,979,530,386
71712,53,34,723,732,73,244,842,17,31
432486,1145,1092,3661,3127,2569,2041,4080,751,781
20962,64,31,75,43,103,245,75,43,53
212862,2282,1279,1516,1093,3469,5037,1388,737,1575
109272,1,0,11,7,3,4,16,8,2
20728,0,0,0,3,1,0,3,1,0
237433,6,8,22,17,33,12,20,12,9
104303,1348,1464,3735,2633,2793,2149,2780,860,775
70683,2758,2493,5667,5859,6075,5353,4856,1455,1724
216225,2168,1484,283,371,5129,3317,330,728,1358
320091,75,43,276,435,71,77,437,15,36
237436,1691,1485,1406,945,1635,2331,1178,370,537
20186,0,2,4,3,0,2,9,0,0
216227,22,6,14,19,38,52,17,6,24
213326,4139,3202,4139,2739,8598,8476,5201,2441,2780
67019,89,217,293,237,359,134,237,172,83
75089,3122,3275,4742,3520,7482,6655,5609,2141,2209
77531,5,4,141,68,14,63,57,1,20
100043039,3,1,1,1,5,2,3,1,1
11783,458,511,2336,2140,1292,1109,2320,354,388
67454,223,349,2213,1924,820,578,2038,236,190
18674,10732,11278,23609,17973,26626,20130,18966,6304,6461
100861804,0,1,0,1,0,5,1,0,1
21917,2161,2615,10771,9407,5569,3603,7948,1776,1698
100503982,7,22,40,36,33,20,41,14,9
723955,0,0,0,1,0,0,0,0,0
110333,0,0,4,4,0,0,4,0,0
100526517,0,0,0,0,0,0,0,0,0
627800,0,1,0,0,0,0,0,0,0
667203,4,7,19,17,17,10,9,6,4
17997,459,635,1213,1118,1305,924,1105,490,384
380653,1,0,34,32,4,1,40,1,0
380654,10,8,345,312,8,16,388,4,7
237459,1365,1223,4307,3195,2060,2053,4089,728,844
100316689,2,0,1,0,0,1,0,1,0
13713,234,394,2898,2498,996,546,2459,266,178
432488,0,0,4,4,1,0,6,1,0
16993,1477,2079,4316,3646,4397,2634,3322,1193,1007
15109,688,36,165,168,379,3866,242,37,179
71761,4,3,98,110,2,3,85,3,1
237465,15,15,55,40,62,95,52,19,24
69878,160,279,974,561,548,368,571,169,138
74454,0,1,5,2,3,5,1,0,1
57764,225,205,2438,3147,611,472,2491,111,118
667338,13,14,28,5,4,5,6,1,0
100504069,5,2,5,6,6,7,6,1,1
327799,6,0,6,5,12,7,8,1,2
56307,4295,4714,10575,7573,11452,8613,9105,3273,2874
74923,0,0,0,0,0,0,0,0,0
723908,1,2,1,0,5,6,1,1,0
215008,781,695,1199,1020,1738,1346,1049,424,517
13998,2830,1322,2837,3008,3104,3400,2532,776,1664
22025,674,919,1193,1481,1905,1186,857,556,489
66414,12,30,67,68,132,43,58,21,12
100861832,0,1,0,1,1,3,2,1,1
215472,0,0,0,0,0,0,0,0,0
319880,3973,2373,2630,1604,5404,6620,4790,1223,2046
67723,261,477,406,433,853,447,343,265,152
77048,1921,1461,3096,1821,3160,3964,2728,936,1113
54712,26,14,24,26,19,25,24,2,5
12905,135,204,213,161,488,253,181,150,101
69629,0,0,0,0,0,1,0,0,0
216233,775,794,2259,1961,2252,1998,3629,348,358
70523,2,5,3,7,11,11,6,1,1
67270,316,538,1432,853,928,561,795,257,194
93765,626,838,2013,1887,2490,1806,2141,555,474
71207,9978,5817,10776,8834,12225,13358,14378,2958,5855
100526463,31,5,17,15,14,27,19,13,33
216238,4940,2287,4589,3030,4722,8685,5492,1442,3020
100504157,1,2,1,2,0,1,0,0,0
12226,19572,18130,9104,10755,30590,29516,8045,13244,10865
75301,0,0,4,0,0,1,0,0,0
100628616,0,0,0,0,0,0,0,0,0
13179,1495,12462,11768,8129,21436,11033,10816,9880,3220
17022,136,538,556,617,285,2136,1088,96,410
75025,0,0,0,0,0,0,0,0,0
16545,0,0,1,6,1,13,19,2,1
13516,1,1,1,3,0,2,2,0,0
100038699,0,0,0,0,1,0,0,0,0
66716,1,0,1,0,1,1,0,0,0
791295,0,0,0,0,0,0,0,0,0
667438,1,0,0,0,0,0,1,0,0
67972,10648,4451,15823,10063,17302,20395,14218,2708,7319
382406,412,416,1535,1300,934,631,1276,267,246
14426,802,811,3166,2911,2220,1799,3421,456,480
100861874,2,1,0,2,0,1,3,0,0
67603,27013,13341,40401,35529,27084,32736,38055,6121,14719
100504202,5,20,2,1,19,12,3,8,2
100417125,2,1,11,19,0,2,11,1,1
71832,482,659,1162,771,1162,736,692,262,266
17311,11877,8858,40512,38642,21517,31399,44303,8459,9686
100043224,0,0,0,0,0,0,0,0,0
100043227,0,0,0,0,0,0,0,0,0
100043231,0,0,0,0,0,0,0,0,0
100043235,0,0,0,0,0,0,0,0,0
100043239,0,0,0,0,0,0,0,0,0
100043247,0,0,0,0,0,0,0,0,0
237500,1456,1089,5679,3905,3006,3446,5087,759,1014
216274,1026,876,2148,988,1570,1805,1965,669,725
68281,55,75,322,187,116,128,184,59,47
66605,0,0,0,0,0,0,0,0,0
67569,0,0,0,0,0,0,0,0,0
100526516,0,0,0,0,0,0,0,0,0
67405,1,1,10,10,8,32,18,2,3
237504,416,677,262,204,851,362,204,733,407
216285,0,0,0,0,0,1,1,0,0
74978,30,9,25,17,42,62,24,2,17
103098,355,80,4966,1812,290,679,2649,39,213
100861880,0,0,0,0,0,0,0,0,0
100861891,0,0,0,0,0,0,0,0,0
100861901,0,0,0,0,0,0,0,0,0
637578,0,0,0,0,0,0,0,0,0
100043292,0,0,0,0,0,0,0,0,0
278279,4451,548,1196,1096,2494,9299,1563,324,2102
327812,161,12,103,76,43,200,159,11,102
216292,311,373,461,355,673,505,351,200,226
52713,615,764,1446,1296,1842,1326,1220,652,617
639162,4,3,2,0,3,0,0,0,0
321001,0,0,0,0,0,0,0,0,0
327814,0,0,3,0,0,2,6,1,0
380660,19,116,14,14,230,51,22,85,36
108030,1,3,21,13,5,4,30,4,2
17877,0,0,0,0,0,0,0,0,0
17878,0,0,0,0,0,0,0,0,0
237523,0,3,0,0,6,2,0,0,0
628870,0,1,3,3,2,0,7,0,0
17931,2319,2779,12427,12801,5827,4805,13289,2298,1949
114774,1952,1803,7675,5592,4206,3684,7825,997,1032
20979,0,0,40,41,3,0,60,1,0
368203,0,0,0,0,0,0,0,0,0
260315,3032,520,62,71,2841,5140,89,249,1588
109335,0,0,0,0,0,0,1,0,0
52679,34,88,666,563,171,92,386,24,27
75630,0,0,0,0,0,0,0,0,0
13008,153,136,1425,680,275,343,774,72,110
320150,772,764,1905,1327,1419,1482,1814,538,576
432502,3877,3488,5268,6109,10492,8179,5739,2278,2218
237542,1979,1567,3806,2674,3894,5032,4614,1030,1135
71769,31,55,22,18,55,28,31,24,9
53605,2414,1870,8508,5909,4837,4191,7041,1106,1411
382421,4,5,18,14,5,9,18,2,3
21664,17051,7226,16664,13387,16440,16676,12854,2456,6478
71321,0,0,0,0,0,0,1,0,0
629206,2,0,0,0,1,3,0,0,1
52705,1032,910,2235,1454,2514,2441,2651,718,728
73690,4,3,62,57,6,8,80,2,5
69286,0,0,0,0,0,0,0,0,0
67537,0,0,0,0,0,0,0,0,0
544736,0,0,0,0,0,1,0,0,0
353025,4,0,2,0,9,6,0,1,10
268345,0,0,7,2,11,2,14,4,2
69355,0,0,0,0,0,0,0,0,0
382423,3747,3587,4831,4932,10409,8029,5665,2433,2273
237553,1,0,1,2,0,4,2,0,0
216343,1,3,0,1,3,1,0,1,0
100861951,0,0,0,0,0,0,0,0,0
66687,2814,2594,3670,2650,4796,4501,3188,1534,1756
668041,1751,1976,2534,2181,5690,4055,2573,1390,1485
216344,2101,2065,7045,7072,5448,4832,8060,1268,1260
100038558,13,14,148,90,23,33,121,5,9
67226,574,1481,2140,1989,2798,1140,1506,826,416
66816,360,490,1162,1096,1201,753,1635,378,306
216345,1717,1426,4499,3006,3096,4344,8339,1603,1607
14160,65,117,3619,5622,166,131,3715,69,56
100861970,0,0,0,0,0,0,0,0,0
77798,0,0,4,16,0,0,21,0,0
216350,4683,1444,738,814,4817,6607,786,698,2692
19279,0,0,11,9,14,6,32,5,0
619332,0,0,0,0,0,0,0,0,0
19263,37,54,905,757,1001,447,1934,352,136
58802,3,1,49,47,5,3,50,7,0
67342,0,0,0,2,0,0,1,0,0
100504412,0,0,1,4,1,0,2,0,0
72068,2310,2638,4034,2937,5955,5062,3188,1942,1872
100504423,53,47,110,40,101,98,56,52,22
72286,0,0,0,0,0,1,0,0,0
237558,42,11,14,4,33,141,12,2,8
216363,1902,4210,1484,1113,7675,3608,1185,2497,1298
71086,45,263,217,219,430,134,226,210,74
103175,2,6,2,5,7,5,2,7,2
544741,176,264,351,233,394,289,245,120,158
382427,14,70,2,3,138,38,7,49,10
100038610,1,3,1,1,4,0,0,0,0
237560,1,0,2,0,0,1,2,0,0
100862026,0,0,1,1,2,2,2,0,1
12461,7459,9975,18403,14488,20916,12709,13495,5792,4483
327826,2196,1580,3409,3217,4459,4362,3616,1123,1509
64050,682,942,1161,857,1912,1209,1163,613,491
77397,0,0,0,0,0,0,0,0,0
17105,10,7,206,188,172,56,177,76,83
17110,1,1,9,10,7,1,9,2,4
432508,2767,2501,6356,4391,6880,6361,7311,2126,1878
70574,54,63,1708,2223,258,321,2752,69,44
17246,3636,3781,10266,7805,9207,8137,10594,2685,2557
215436,505,526,1032,1242,1296,1192,1240,277,276
103468,438,689,2347,1904,1597,882,1628,501,399
100862040,105,42,91,105,168,238,148,57,77
215449,4670,2308,6350,4059,7221,8623,5778,1301,2655
71067,0,0,3,1,0,0,2,0,0
17245,153,199,1033,883,578,363,660,151,147
50929,0,0,0,0,0,0,0,0,0
116849,0,0,0,0,0,0,0,0,0
668198,0,0,0,0,0,0,0,0,0
668203,0,2,1,0,0,3,3,0,0
668205,3,6,5,11,14,10,13,1,3
668209,0,0,0,0,0,0,0,0,0
668213,0,0,0,0,0,0,0,0,0
668216,25,25,47,39,41,34,45,14,14
15978,0,0,0,1,0,0,1,0,1
69181,3263,1772,1645,1055,3778,4139,1884,883,1373
100038589,3,0,2,0,0,10,1,0,1
97640,6,4,1,0,9,25,2,2,0
73400,0,0,0,0,0,0,0,0,0
71902,5209,5242,13884,13166,15925,13006,15844,3314,3798
67081,0,0,0,0,0,0,4,0,0
74053,173,91,489,363,305,291,493,43,103
75321,0,0,0,1,0,1,0,0,0
117599,355,566,1388,1246,1241,803,1540,383,345
73914,2565,979,332,371,2536,5026,583,471,934
68212,1519,2658,1146,1045,5242,3096,1026,1774,1049
100504548,1,0,1,0,1,2,1,0,0
66225,8,16,30,43,40,38,36,11,14
15364,4,9,72,42,15,12,93,6,6
321010,0,0,1,1,0,0,1,0,0
320626,0,0,6,6,0,4,3,0,1
791076,0,0,0,0,0,0,1,0,0
100038546,0,0,3,2,0,0,5,0,0
70874,1,0,13,19,1,0,24,2,2
320183,345,1145,14525,16092,2254,1218,16790,748,378
100504616,7,19,66,38,18,17,68,15,8
380664,2548,1927,4466,2766,5055,5244,4498,1256,1433
24117,34,40,20127,15069,106,305,15794,51,63
100504636,0,0,0,1,0,0,1,0,0
74694,417,1139,137,107,1692,861,106,763,328
75612,6380,13956,6189,6978,26219,15354,5907,8024,4133
192678,3819,4890,3761,4425,11056,8699,2925,3397,2578
56480,2220,2084,2219,1700,5173,5124,3066,1847,1632
73192,1577,1448,5367,4043,4161,3950,5462,891,886
216393,8,2,2,1,9,6,2,2,3
270802,135,413,247,302,848,360,227,224,120
117600,44,71,295,277,94,174,374,39,38
216394,1,1,0,0,0,2,0,0,0
668272,19,22,40,37,47,57,39,11,9
216395,809,840,1182,1126,1937,1544,1039,545,496
100043513,0,0,0,0,1,0,0,0,0
54140,5,8,111,154,28,22,159,80,26
319272,0,0,0,1,0,0,0,0,0
319468,2407,1515,1396,1235,4335,4094,1268,653,923
387251,9,9,9,2,13,11,4,5,7
67074,5849,7447,8770,8734,15653,13409,11336,4524,4106
14479,2320,2344,3692,2362,5223,5219,3242,1698,1631
100042958,2,6,5,12,16,6,7,2,3
268354,0,0,4,3,0,0,15,0,0
100505018,0,0,0,0,0,0,0,0,0
75030,312,396,537,485,872,499,415,211,176
20503,205,64,373,445,137,219,396,68,129
320398,356,118,1856,2535,232,348,837,110,220
68876,66,94,199,164,139,87,98,53,47
52468,8496,7162,10631,12735,15084,10085,8020,4512,4328
723962,0,0,0,0,1,1,0,0,0
723882,0,0,0,0,0,0,0,0,0
