,rownames,ENTREZID,SYMBOL,TXCHROM
71877,85,71877,Efhc1,chr1
170829,86,170829,Tram2,chr1
75712,87,75712,Tmem14a,chr1
14859,88,14859,Gsta3,chr1
241041,89,241041,Gm4956,chr1
368204,90,368204,Khdc1a,chr1
433278,91,433278,Khdc1c,chr1
98582,92,98582,Khdc1b,chr1
226922,93,226922,Kcnq5,chr1
116837,94,116837,Rims1,chr1
66755,95,66755,Ppp1r14bl,chr1
387225,96,387225,Mir30a,chr1
723964,97,723964,Mir30c-2,chr1
70155,98,70155,Ogfrl1,chr1
100503399,99,100503399,Gm19673,NA
280645,100,280645,B3gat2,chr1
98366,101,98366,Smap1,chr1
68002,102,68002,Sdhaf4,chr1
68187,103,68187,Fam135a,chr1
12839,104,12839,Col9a1,chr1
12823,105,12823,Col19a1,chr1
68421,106,68421,Lmbrd1,chr1
210933,107,210933,Adgrb3,chr1
100504323,108,100504323,Gm20172,chr1
210940,109,210940,4931408C20Rik,chr1
433281,110,433281,Gm5524,chr1
665903,111,665903,Gm7846,NA
210962,112,210962,Gm597,chr1
623924,113,623924,Gm6462,NA
791350,114,791350,Gm9898,NA
213109,115,213109,Phf3,chr1
19243,116,19243,Ptp4a1,chr1
70988,117,70988,4931428L18Rik,chr1
266744,118,266744,Lgsn,chr1
74708,119,74708,Dnaaf6,chr1
226957,120,226957,Gm4850,NA
624262,121,624262,Gm6489,NA
170771,122,170771,Khdrbs2,chr1
408192,123,408192,Gm9839,chr1
408191,124,408191,Semp2l1,chr1
19076,125,19076,Prim2,chr1
67503,126,67503,1700001G17Rik,chr1
19335,127,19335,Rab23,chr1
213539,128,213539,Bag2,chr1
98403,129,98403,Zfp451,chr1
433287,130,433287,Gm15455,chr1
320705,131,320705,Bend6,chr1
13518,132,13518,Dst,chr1
100628580,133,100628580,Mir5103,chr1
69668,134,69668,Ccdc115,chr1
27993,135,27993,Imp4,chr1
52318,136,52318,D1Ertd448e,NA
19253,137,19253,Ptpn18,chr1
21755,138,21755,Prss39,chr1
12627,139,12627,Cfc1,chr1
21756,140,21756,Prss40,chr1
211383,141,211383,Amer3,chr1
241051,142,241051,AA619741,chr1
226970,143,226970,Arhgef4,chr1
214469,144,214469,Fam168b,chr1
226971,145,226971,Plekhb2,chr1
50785,146,50785,Hs6st1,chr1
320011,147,320011,Uggt1,chr1
214854,148,214854,Neurl3,chr1
214855,149,214855,Arid5a,chr1
226976,150,226976,Kansl3,chr1
214895,151,214895,Lman2l,chr1
94220,152,94220,Cnnm4,chr1
94218,153,94218,Cnnm3,chr1
78321,154,78321,Ankrd23,chr1
109346,155,109346,Ankrd39,chr1
20353,156,20353,Sema4c,chr1
381337,157,381337,Fam178b,chr1
12859,158,12859,Cox5b,chr1
226977,159,226977,Actr1b,chr1
71166,160,71166,4933424G06Rik,chr1
22637,161,22637,Zap70,chr1
56030,162,56030,Tmem131,chr1
70853,163,70853,Vwa3b,chr1
12790,164,12790,Cnga3,chr1
269180,165,269180,Inpp4a,chr1
76178,166,76178,Coa5,chr1
67387,167,67387,Unc50,chr1
269181,168,269181,Mgat4a,chr1
77633,169,77633,4930594C11Rik,chr1
100861893,170,100861893,NA,NA
72097,171,72097,Cracdl,chr1
100503734,172,100503734,Gm19863,NA
211484,173,211484,Tsga10,chr1
623661,174,623661,Lipt1,chr1
69028,175,69028,Mitd1,chr1
107734,176,107734,Mrpl30,chr1
332427,177,332427,Lyg2,chr1
69541,178,69541,Lyg1,chr1
98258,179,98258,Txndc9,chr1
226982,180,226982,Eif5b,chr1
56210,181,56210,Rev1,chr1
16764,182,16764,Aff3,chr1
381338,183,381338,Lonrf2,chr1
98388,184,98388,Chst10,chr1
100503760,185,100503760,NA,NA
433292,186,433292,Nms,chr1
68833,187,68833,Pdcl3,chr1
18143,188,18143,Npas2,chr1
114641,189,114641,Rpl31,chr1
54610,190,54610,Tbc1d8,chr1
52846,191,52846,Cnot11,chr1
100217461,192,100217461,Snord89,chr1
67702,193,67702,Rnf149,chr1
263764,194,263764,Creg2,chr1
619289,195,619289,Rfx8,chr1
100042065,196,100042065,Gm3646,chr1
73426,197,73426,1700066B17Rik,chr1
26921,198,26921,Map4k4,chr1
100047133,199,100047133,Gm16894,chr1
16178,200,16178,Il1r2,chr1
16177,201,16177,Il1r1,chr1
107527,202,107527,Il1rl2,chr1
17082,203,17082,Il1rl1,chr1
16182,204,16182,Il18r1,chr1
16174,205,16174,Il18rap,chr1
110895,206,110895,Slc9a4,chr1
226999,207,226999,Slc9a2,chr1
211798,208,211798,Mfsd9,chr1
381339,209,381339,Tmem182,chr1
74897,210,74897,4930448I06Rik,chr1
66297,211,66297,Pantr1,chr1
18993,212,18993,Pou3f3,chr1
73100,213,73100,2900092D14Rik,NA
69527,214,69527,Mrps9,chr1
93690,215,93690,Gpr45,chr1
73122,216,73122,Tgfbrap1,chr1
98404,217,98404,AI597479,chr1
14200,218,14200,Fhl2,chr1
666642,219,666642,Gm8210,NA
17974,220,17974,Nck2,chr1
100861934,221,100861934,NA,NA
78896,222,78896,Ecrg4,chr1
67883,223,67883,Uxs1,chr1
100503192,224,100503192,NA,NA
22019,225,22019,Tpp2,chr1
433294,226,433294,Mettl21c,chr1
75623,227,75623,Tex30,chr1
72050,228,72050,Poglut2,chr1
246229,229,246229,Bivm,chr1
22592,230,22592,Ercc5,chr1
100861960,231,100861960,NA,NA
403183,232,403183,Mettl21e,chr1
70676,233,70676,Gulp1,chr1
75066,234,75066,4930521E06Rik,chr1
12825,235,12825,Col3a1,chr1
12832,236,12832,Col5a2,chr1
73674,237,73674,Wdr75,chr1
433297,238,433297,Gm5526,NA
53945,239,53945,Slc40a1,chr1
100042453,240,100042453,Gm3852,NA
212225,241,212225,Stk-ps2,chr1
227058,242,227058,Dnah7b,chr1
100101919,243,100101919,Dnah7c,chr1
227059,244,227059,Slc39a10,chr1
442837,245,442837,C230029F24Rik,chr1
56363,246,56363,Tmeff2,chr1
442821,247,442821,9330175M20Rik,chr1
20324,248,20324,Cavin2,chr1
109019,249,109019,Nabp1,chr1
100045066,250,100045066,Gm17767,chr1
17912,251,17912,Myo1b,chr1
20849,252,20849,Stat4,chr1
100042634,253,100042634,Gm3940,NA
20846,254,20846,Stat1,chr1
14660,255,14660,Gls,chr1
17936,256,17936,Nab1,chr1
227094,257,227094,Nemp2,chr1
98682,258,98682,Mfsd6,chr1
16329,259,16329,Inpp1,chr1
227095,260,227095,Hibch,chr1
67080,261,67080,1700019D03Rik,chr1
17700,262,17700,Mstn,chr1
69397,263,69397,1700019A02Rik,chr1
227099,264,227099,Pms1,chr1
227102,265,227102,Ormdl1,chr1
72085,266,72085,Osgepl1,chr1
70396,267,70396,Asnsd1,chr1
627872,268,627872,Dnah7a,chr1
98267,269,98267,Stk17b,chr1
329152,270,329152,Hecw2,chr1
78016,271,78016,Ccdc150,chr1
98488,272,98488,Gtf3c3,chr1
241062,273,241062,Pgap1,chr1
329154,274,329154,Ankrd44,chr1
81898,275,81898,Sf3b1,chr1
67876,276,67876,Coq10b,chr1
15510,277,15510,Hspd1,chr1
15528,278,15528,Hspe1,chr1
19070,279,19070,Mob4,chr1
74013,280,74013,Rftn2,chr1
212679,281,212679,Mars2,chr1
75388,282,75388,Boll,chr1
227120,283,227120,Plcl1,chr1
626009,284,626009,Gm6644,chr6
329159,285,329159,9130227L01Rik,chr1
71066,286,71066,Hsfy2,chr1
212712,287,212712,Satb2,chr1
329160,288,329160,9130024F11Rik,chr1
407809,289,407809,BC055402,chr1
75323,290,75323,4930558J18Rik,chr1
73467,291,73467,1700066M21Rik,chr1
68736,292,68736,Tyw5,chr1
68115,293,68115,Maip1,chr1
67198,294,67198,Spats2l,chr1
51960,295,51960,Kctd18,chr1
68549,296,68549,Sgo2a,chr1
11761,297,11761,Aox1,chr1
71724,298,71724,Aox3,chr1
71872,299,71872,Aox4,chr1
213043,300,213043,Aox2,chr1
66882,301,66882,Bzw1,chr1
12747,302,12747,Clk1,chr1
70225,303,70225,Ppil3,chr1
65102,304,65102,Nif3l1,chr1
18393,305,18393,Orc2,chr1
100504455,306,100504455,Gm15834,NA
213056,307,213056,Hycc2,chr1
66495,308,66495,Ndufb3,chr1
100504501,309,100504501,Gm20257,chr1
108812,310,108812,Flacc1,chr1
12633,311,12633,Cflar,chr1
12370,312,12370,Casp8,chr1
70827,313,70827,Trak2,chr1
227154,314,227154,Stradb,chr1
73463,315,73463,C2cd6,chr1
381259,316,381259,Tmem237,chr1
227157,317,227157,Mpp4,chr1
74018,318,74018,Als2,chr1
271697,319,271697,Cdk15,chr1
14369,320,14369,Fzd7,chr1
381260,321,381260,Gm973,chr1
22218,322,22218,Sumo1,chr1
55989,323,55989,Nop58,chr1
100217459,324,100217459,Snord70,chr1
100217421,325,100217421,Snord11,chr1
12168,326,12168,Bmpr2,chr1
100504533,327,100504533,NA,NA
72750,328,72750,Fam117b,chr1
70375,329,70375,Ica1l,chr1
57750,330,57750,Wdr12,chr1
241066,331,241066,Carf,chr1
100504573,332,100504573,Gm15464,NA
269198,333,269198,Nbeal1,chr1
77951,334,77951,Cyp20a1,chr1
329165,335,329165,Abi2,chr1
77300,336,77300,Raph1,chr1
100043027,337,100043027,NA,NA
100042533,338,100042533,Gm11578,NA
12487,339,12487,Cd28,chr1
100504618,340,100504618,Gm11579,NA
12477,341,12477,Ctla4,chr1
54167,342,54167,Icos,chr1
77341,343,77341,9530026F06Rik,chr1
72823,344,72823,Pard3b,chr1
18187,345,18187,Nrp2,chr1
74992,346,74992,4930487H11Rik,NA
227195,347,227195,Ino80d,chr1
100380944,348,100380944,Ino80dos,chr1
100504668,349,100504668,Gm20342,NA
227197,350,227197,Ndufs1,chr1
55949,351,55949,Eef1b2,chr1
100217464,352,100217464,Snora41,chr1
241070,353,241070,Cmklr2,chr1
73884,354,73884,Zdbf2,chr1
23792,355,23792,Adam23,chr1
241073,356,241073,Dytn,chr1
76668,357,76668,Mdh1b,chr1
75619,358,75619,Fastkd2,chr1
74426,359,74426,4933402D24Rik,chr1
433315,360,433315,Gm13749,chr1
93691,361,93691,Klf7,chr1
12912,362,12912,Creb1,chr1
67099,363,67099,Mettl21a,chr1
69941,364,69941,2810408I11Rik,chr1
227210,365,227210,Ccnyl1,chr1
14367,366,14367,Fzd5,chr1
241075,367,241075,Plekhm3,chr1
70861,368,70861,Akr1cl,chr1
667276,369,667276,Gm8550,NA
12968,370,12968,Cryge,chr1
12967,371,12967,Crygd,chr1
12966,372,12966,Crygc,chr1
12965,373,12965,Crygb,chr1
12964,374,12964,Cryga,chr1
98303,375,98303,D630023F18Rik,chr1
15926,376,15926,Idh1,chr1
18711,377,18711,Pikfyve,chr1
213527,378,213527,Pth2r,chr1
12969,379,12969,Crygf,chr1
17756,380,17756,Map2,chr1
100038569,381,100038569,Gm10558,NA
329178,382,329178,Unc80,chr1
66646,383,66646,Rpe,chr1
68691,384,68691,Kansl1l,chr1
11363,385,11363,Acadl,chr1
100862127,386,100862127,NA,NA
17901,387,17901,Myl1,chr1
14768,388,14768,Lancl1,chr1
227231,389,227231,Cps1,chr1
13869,390,13869,Erbb4,chr1
100502712,391,100502712,Gm19335,NA
22779,392,22779,Ikzf2,chr1
66722,393,66722,Spag16,chr1
320460,394,320460,Vwc2l,chr1
12021,395,12021,Bard1,chr1
74591,396,74591,Abca12,chr1
108147,397,108147,Atic,chr1
14268,398,14268,Fn1,chr1
100042814,399,100042814,Apol7d,chr1
667931,400,667931,Gm8883,chr1
71134,401,71134,4933417E11Rik,chr1
433319,402,433319,Gm5528,NA
381269,403,381269,Mreg,chr1
111175,404,111175,Pecr,chr1
271711,405,271711,Tmem169,chr1
22596,406,22596,Xrcc5,chr1
381270,407,381270,Marchf4,chr1
54380,408,54380,Smarcal1,chr1
319695,409,319695,Ankar,chr1
19981,410,19981,Rpl37a,chr1
16008,411,16008,Igfbp2,chr1
16011,412,16011,Igfbp5,chr1
21958,413,21958,Tnp1,chr1
69449,414,69449,1700027A15Rik,chr1
723792,415,723792,Pinc,chr1
78718,416,78718,D530049I02Rik,chr1
109198,417,109198,6030407O03Rik,chr1
21961,418,21961,Tns1,chr1
435626,419,435626,Rufy4,chr1
100862357,420,100862357,NA,NA
12765,421,12765,Cxcr2,chr1
227288,422,227288,Cxcr1,chr1
100316687,423,100316687,Mir1928,chr1
76709,424,76709,Arpc2,chr1
227289,425,227289,Gpbar1,chr1
227290,426,227290,Aamp,chr1
56695,427,56695,Pnkd,chr1
69660,428,69660,Tmbim1,chr1
241112,429,241112,Catip,chr1
18173,430,18173,Slc11a1,chr1
227292,431,227292,Ctdsp1,chr1
387219,432,387219,Mir26b,chr1
22349,433,22349,Vil1,chr1
319651,434,319651,Usp37,chr1
58184,435,58184,Cnot9,chr1
18802,436,18802,Plcd4,chr1
77264,437,77264,Zfp142,chr1
66821,438,66821,Bcs1l,chr1
57751,439,57751,Rnf25,chr1
269209,440,269209,Stk36,chr1
67534,441,67534,Ttll4,chr1
104086,442,104086,Cyp27a1,chr1
241113,443,241113,Prkag3,chr1
22420,444,22420,Wnt6,chr1
22409,445,22409,Wnt10a,chr1
12570,446,12570,Cdk5r2,chr1
260298,447,260298,Fev,chr1
12958,448,12958,Cryba2,chr1
723900,449,723900,Mir375,chr1
241116,450,241116,Cfap65,chr1
16147,451,16147,Ihh,chr1
75570,452,75570,Nhej1,chr1
22626,453,22626,Slc23a3,chr1
69171,454,69171,Cnppd1,chr1
227298,455,227298,Retreg2,chr1
68818,456,68818,Zfand2b,chr1
74104,457,74104,Abcb6,chr1
245860,458,245860,Atg9a,chr1
52231,459,52231,Ankzf1,chr1
74577,460,74577,Glb1l,chr1
20872,461,20872,Stk16,chr1
22145,462,22145,Tuba4a,chr1
381272,463,381272,A630095N17Rik,chr1
56812,464,56812,Dnajb2,chr1
19275,465,19275,Ptprn,chr1
19711,466,19711,Resp18,chr1
13437,467,13437,Dnpep,chr1
13346,468,13346,Des,chr1
100503248,469,100503248,Gm15179,chr1
11790,470,11790,Speg,chr1
69080,471,69080,Gmppa,chr1
100862164,472,100862164,NA,NA
241118,473,241118,Asic4,chr1
74241,474,74241,Chpf,chr1
319998,475,319998,Tmem198,chr1
98733,476,98733,Obsl1,chr1
16322,477,16322,Inha,chr1
71728,478,71728,Stk11ip,chr1
20536,479,20536,Slc4a3,chr1
100862333,480,100862333,NA,NA
620079,481,620079,Gm17751,chr1
13838,482,13838,Epha4,chr1
18505,483,18505,Pax3,chr1
100039210,484,100039210,Gm2102,NA
433323,485,433323,Sgpp2,chr1
23874,486,23874,Farsb,chr1
68393,487,68393,Mogat1,chr1
74205,488,74205,Acsl3,chr1
195434,489,195434,Utp14b,chr1
57814,490,57814,Kcne4,chr1
20254,491,20254,Scg2,chr1
100862182,492,100862182,NA,NA
252903,493,252903,Ap1s3,chr1
69368,494,69368,Wdfy1,chr1
100038695,495,100038695,Gm10555,NA
69163,496,69163,Mrpl44,chr1
100862198,497,100862198,NA,NA
20720,498,20720,Serpine2,chr1
241128,499,241128,Fam124b,chr1
26554,500,26554,Cul3,chr1
72208,501,72208,1700016L21Rik,chr1
210293,502,210293,Dock10,chr1
241134,503,241134,Nyap2,chr1
16367,504,16367,Irs1,chr1
100503073,505,100503073,Gm19537,NA
76867,506,76867,Rhbdd1,chr1
100503095,507,100503095,Gm19552,NA
12829,508,12829,Col4a4,chr1
12828,509,12828,Col4a3,chr1
75734,510,75734,Mff,chr1
66261,511,66261,Tm4sf20,chr1
100044526,512,100044526,Gm17764,NA
15463,513,15463,Agfg1,chr1
80721,514,80721,Slc19a3,chr1
71386,515,71386,Krtap28-13,chr1
20297,516,20297,Ccl20,chr1
71227,517,71227,Daw1,chr1
77629,518,77629,Sphkap,chr1
98496,519,98496,Pid1,chr1
227325,520,227325,Dner,chr1
100628595,521,100628595,Mir5126,chr1
14897,522,14897,Trip12,chr1
66153,523,66153,Fbxo36,chr1
71781,524,71781,Slc16a14,chr1
100503433,525,100503433,Gm15433,NA
381287,526,381287,A530032D15Rik,chr1
621875,527,621875,A530040E14Rik,NA
100040135,528,100040135,NA,NA
665378,529,665378,Gm7609,chr1
620078,530,620078,C130026I21Rik,chr1
100040213,531,100040213,Gm2666,NA
100039794,532,100039794,Gm2427,NA
665338,533,665338,NA,NA
109032,534,109032,Sp110,chr1
434484,535,434484,Sp140,chr1
100503502,536,100503502,Gm10552,NA
100503045,537,100503045,NA,NA
20684,538,20684,Sp100,chr1
319997,539,319997,A630001G21Rik,chr1
12283,540,12283,Cab39,chr1
64294,541,64294,Itm2c,chr1
71141,542,71141,4933407L21Rik,chr1
227326,543,227326,Gpr55,chr1
70060,544,70060,Spata3,chr1
72792,545,72792,2810459M11Rik,chr1
70247,546,70247,Psmd1,chr1
15559,547,15559,Htr2b,chr1
78795,548,78795,Armc9,chr1
100861644,549,100861644,NA,NA
227327,550,227327,B3gnt7,chr1
383538,551,383538,Gm5258,NA
17975,552,17975,Ncl,chr1
100303740,553,100303740,Snora75,chr1
80828,554,80828,Snord82,chr1
319336,555,319336,C130036L24Rik,chr1
14767,556,14767,Nmur1,chr1
71863,557,71863,Tex44,chr1
19231,558,19231,Ptma,chr1
18582,559,18582,Pde6d,chr1
26895,560,26895,Cops7b,chr1
18159,561,18159,Nppc,chr1
208718,562,208718,Dis3l2,chr1
11650,563,11650,Alppl2,chr1
76768,564,76768,Alpi,chr1
11648,565,11648,Akp3,chr1
13599,566,13599,Ecel1,chr1
69453,567,69453,Prss56,chr1
11447,568,11447,Chrnd,chr1
11449,569,11449,Chrng,chr1
26987,570,26987,Eif4e2,chr1
98363,571,98363,Efhd1,chr1
227331,572,227331,Gigyf2,chr1
100040591,573,100040591,Kcnj13,chr1
73234,574,73234,Snorc,chr1
53972,575,53972,Ngef,chr1
319977,576,319977,A530079E22Rik,NA
620454,577,620454,Gm6153,NA
23956,578,23956,Neu2,chr1
16331,579,16331,Inpp5d,chr1
77040,580,77040,Atg16l1,chr1
100217415,581,100217415,Scarna6,chr1
20215,582,20215,Sag,chr1
100503175,583,100503175,Gm19582,chr1
227333,584,227333,Dgkd,chr1
227334,585,227334,Usp40,chr1
394430,586,394430,Ugt1a10,chr1
394434,587,394434,Ugt1a9,chr1
394432,588,394432,Ugt1a7c,chr1
394435,589,394435,Ugt1a6b,chr1
94284,590,94284,Ugt1a6a,chr1
394433,591,394433,Ugt1a5,chr1
22236,592,22236,Ugt1a2,chr1
15504,593,15504,Dnajb3,chr1
394436,594,394436,Ugt1a1,chr1
100040766,595,100040766,Mroh2a,chr1
381280,596,381280,Hjurp,chr1
78605,597,78605,6430706D22Rik,NA
171382,598,171382,Trpm8,chr1
75396,599,75396,Spp2,chr1
14659,600,14659,Glrp1,chr1
100503197,601,100503197,Gm19589,chr1
320982,602,320982,Arl4c,chr1
78650,603,78650,Platr5,chr1
73475,604,73475,1700067G17Rik,chr1
98402,605,98402,Sh3bp4,chr1
77331,606,77331,C030007H22Rik,chr1
347722,607,347722,Agap1,chr1
74403,608,74403,4933400F21Rik,chr1
14472,609,14472,Gbx2,chr1
208372,610,208372,Asb18,chr1
74918,611,74918,Iqca,chr1
12778,612,12778,Ackr3,chr1
108679,613,108679,Cops8,chr1
433332,614,433332,Gm9991,NA
12835,615,12835,Col6a3,chr1
171531,616,171531,Mlph,chr1
623503,617,623503,Prlh,chr1
19329,618,19329,Rab17,chr1
16978,619,16978,Lrrfip1,chr1
329207,620,329207,Rbm44,chr1
51801,621,51801,Ramp1,chr1
67921,622,67921,Ube2f,chr1
665783,623,665783,NA,NA
50880,624,50880,Scly,chr1
227357,625,227357,Espnl,chr1
100503326,626,100503326,NA,NA
70788,627,70788,Klhl30,chr1
227358,628,227358,Erfe,chr1
67444,629,67444,Ilkap,chr1
67086,630,67086,1700020N18Rik,chr1
55927,631,55927,Hes6,chr1
18627,632,18627,Per2,chr1
74019,633,74019,Traf3ip1,chr1
65247,634,65247,Asb1,chr1
13345,635,13345,Twist2,chr1
208727,636,208727,Hdac4,chr1
67273,637,67273,Ndufa10,chr1
259040,638,259040,Or6b2,chr1
258228,639,258228,Or6b2b,chr1
259041,640,259041,Or6b3,chr1
259039,641,259039,Or9s23,chr1
258274,642,258274,Or9s27,chr1
258483,643,258483,Or9s15,chr1
258484,644,258484,Or9s14,NA
257890,645,257890,Or9s13,chr1
66915,646,66915,Cops9,chr1
260301,647,260301,Otos,chr1
14733,648,14733,Gpc1,chr1
100504295,649,100504295,NA,NA
387167,650,387167,Mir149,chr1
241158,651,241158,Ankmy1,chr1
67446,652,67446,Dusp28,chr1
108657,653,108657,Rnpepl1,chr1
100037260,654,100037260,9430060I03Rik,chr1
23830,655,23830,Capn10,chr1
64095,656,64095,Gpr35,chr1
208760,657,208760,Aqp12,chr1
16560,658,16560,Kif1a,chr1
11611,659,11611,Agxt,chr1
71874,660,71874,Mab21l4,chr1
381284,661,381284,Crocc2,chr1
208777,662,208777,Sned1,chr1
69821,663,69821,Mterf4,chr1
269224,664,269224,Pask,chr1
66385,665,66385,Ppp1r7,chr1
404545,666,404545,Ano7,chr1
110611,667,110611,Hdlbp,chr1
18000,668,18000,Septin2,chr1
227377,669,227377,Farp2,chr1
59041,670,59041,Stk25,chr1
51800,671,51800,Bok,chr1
67026,672,67026,Thap4,chr1
66615,673,66615,Atg4b,chr1
21915,674,21915,Dtymk,chr1
66262,675,66262,Ing5,chr1
98314,676,98314,D2hgdh,chr1
381334,677,381334,Gal3st2,chr1
100041596,678,100041596,Gal3st2b,chr1
666009,679,666009,Gm7889,NA
619597,680,619597,Gal3st2c,chr1
241159,681,241159,Neu4,chr1
18566,682,18566,Pdcd1,chr1
74689,683,74689,4930440C22Rik,chr1
67698,684,67698,Fam174a,chr1
20452,685,20452,St8sia4,chr1
75381,686,75381,4930598F16Rik,chr1
100504401,687,100504401,NA,NA
73454,688,73454,1700063A18Rik,chr1
75159,689,75159,4930533P14Rik,chr1
227394,690,227394,Slco4c1,chr1
329217,691,329217,Panct2,chr1
67854,692,67854,Slco6b1,chr1
74441,693,74441,Slco6c1,chr1
634331,694,634331,Gm7133,NA
634346,695,634346,Gm7135,NA
52392,696,52392,Macir,chr1
227399,697,227399,Ppip5k2,chr1
252876,698,252876,Gin1,chr1
18484,699,18484,Pam,chr1
78603,700,78603,B230216N24Rik,chr1
69030,701,69030,1810006J02Rik,chr1
70866,702,70866,Slco6d1,chr1
100504494,703,100504494,NA,NA
241175,704,241175,Cntnap5b,chr1
100504525,705,100504525,Gm20268,chr1
23836,706,23836,Cdh20,chr1
320311,707,320311,Rnf152,chr1
100504568,708,100504568,Gm17634,chr1
27392,709,27392,Pign,chr1
227446,710,227446,Relch,chr1
100042023,711,100042023,Gm10193,NA
21934,712,21934,Tnfrsf11a,chr1
635504,713,635504,Gm7160,chr1
227449,714,227449,Zcchc2,chr1
626049,715,626049,Gm20753,chr1
98432,716,98432,Phlpp1,chr1
12043,717,12043,Bcl2,chr1
320761,718,320761,D630008O14Rik,NA
70750,719,70750,Kdsr,chr1
20479,720,20479,Vps4b,chr1
20724,721,20724,Serpinb5,chr1
71869,722,71869,Serpinb12,chr1
241196,723,241196,Serpinb13,chr1
20248,724,20248,Serpinb3a,chr1
394252,725,394252,Serpinb3d,chr1
383548,726,383548,Serpinb3b,chr1
381286,727,381286,Serpinb3c,chr1
66957,728,66957,Serpinb11,chr1
116872,729,116872,Serpinb7,chr1
18788,730,18788,Serpinb2,chr1
241197,731,241197,Serpinb10,chr1
20725,732,20725,Serpinb8,chr1
241201,733,241201,Cdh7,chr1
227485,734,227485,Cdh19,chr1
319901,735,319901,Dsel,chr1
636808,736,636808,Cntnap5a,chr1
634762,737,634762,Gm7145,NA
22099,738,22099,Tsn,chr1
67949,739,67949,Nifk,chr1
76707,740,76707,Clasp1,chr1
68204,741,68204,2900060B14Rik,chr1
81879,742,81879,Tfcp2l1,chr1
14633,743,14633,Gli2,chr1
16324,744,16324,Inhbb,chr1
100502628,745,100502628,Gm19295,NA
64143,746,64143,Ralb,chr1
226351,747,226351,Tmem185b,chr1
226352,748,226352,Epb41l5,chr1
19258,749,19258,Ptpn4,chr1
66343,750,66343,Tmem177,chr1
226356,751,226356,Cfap221,chr1
319229,752,319229,Sctr,chr1
170706,753,170706,Tmem37,chr1
13167,754,13167,Dbi,chr1
73103,755,73103,3110009E18Rik,chr1
68428,756,68428,Steap3,chr1
226359,757,226359,C1ql2,chr1
17167,758,17167,Marco,chr1
13798,759,13798,En1,chr1
98452,760,98452,Celrr,chr1
72999,761,72999,Insig2,chr1
70829,762,70829,Ccdc93,chr1
15564,763,15564,Htr5b,chr1
66942,764,66942,Ddx18,chr1
100502702,765,100502702,NA,NA
