gene_id,gene_id_version,chr,start,end,strand,gene_biotype,gene_name,gene_id_short
ENSMUSG00000000934,ENSMUSG00000000934.10,chr8,69872149.0,69877885.0,+,lncRNA,Gm45848,ENSMUSG00000000934
ENSMUSG00000000938,ENSMUSG00000000938.12,chrX,59268650.0,59636304.0,-,protein_coding,Atp11c,ENSMUSG00000000938
ENSMUSG00000000942,ENSMUSG00000000942.11,chr12,54905594.0,54909662.0,-,protein_coding,Cfl2,ENSMUSG00000000942
ENSMUSG00000000948,ENSMUSG00000000948.17,chrX,88795874.0,88799097.0,+,protein_coding,4932429P05Rik,ENSMUSG00000000948
ENSMUSG00000000957,ENSMUSG00000000957.12,chr7,43772682.0,43784967.0,-,unprocessed_pseudogene,Gm45122,ENSMUSG00000000957
ENSMUSG00000000958,ENSMUSG00000000958.11,chr7,114771291.0,114771620.0,+,processed_pseudogene,Rpl19-ps10,ENSMUSG00000000958
ENSMUSG00000000959,ENSMUSG00000000959.8,chr7,43721284.0,43725426.0,+,unprocessed_pseudogene,Klk1b14-ps,ENSMUSG00000000959
ENSMUSG00000000976,ENSMUSG00000000976.14,chrY,5383039.0,5383152.0,+,processed_pseudogene,Gm28767,ENSMUSG00000000976
ENSMUSG00000000982,ENSMUSG00000000982.6,chr1,80076339.0,80076602.0,+,processed_pseudogene,Gm28058,ENSMUSG00000000982
ENSMUSG00000000983,ENSMUSG00000000983.14,chr5,15676701.0,15681521.0,-,protein_coding,Gm21149,ENSMUSG00000000983
ENSMUSG00000001014,ENSMUSG00000001014.7,chr1,60815824.0,60820993.0,-,lncRNA,Gm11579,ENSMUSG00000001014
ENSMUSG00000001016,ENSMUSG00000001016.13,chr9,72569628.0,72657134.0,+,protein_coding,Nedd4,ENSMUSG00000001016
ENSMUSG00000001017,ENSMUSG00000001017.17,chr9,70314974.0,70328829.0,-,protein_coding,Ccnb2,ENSMUSG00000001017
ENSMUSG00000001018,ENSMUSG00000001018.16,chr9,70332706.0,70411007.0,-,protein_coding,Rnf111,ENSMUSG00000001018
ENSMUSG00000001020,ENSMUSG00000001020.9,chr9,62585108.0,62691264.0,+,protein_coding,Itga11,ENSMUSG00000001020
ENSMUSG00000001021,ENSMUSG00000001021.14,chr9,68561068.0,69295528.0,+,protein_coding,Rora,ENSMUSG00000001021
ENSMUSG00000001023,ENSMUSG00000001023.11,chr9,62699103.0,62719216.0,-,protein_coding,Fem1b,ENSMUSG00000001023
ENSMUSG00000001025,ENSMUSG00000001025.9,chr9,62746067.0,62759288.0,+,protein_coding,Cln6,ENSMUSG00000001025
ENSMUSG00000001027,ENSMUSG00000001027.8,chr8,34683947.0,34693314.0,+,lncRNA,Gm29243,ENSMUSG00000001027
ENSMUSG00000001029,ENSMUSG00000001029.16,chrY,66530969.0,66534311.0,-,lncRNA,Gm29379,ENSMUSG00000001029
ENSMUSG00000001034,ENSMUSG00000001034.18,chr10,128218707.0,128218775.0,+,miRNA,Mir6914,ENSMUSG00000001034
ENSMUSG00000001036,ENSMUSG00000001036.18,chr9,35759420.0,35761293.0,-,lncRNA,Gm3428,ENSMUSG00000001036
ENSMUSG00000001039,ENSMUSG00000001039.13,chr11,119044902.0,119044963.0,-,miRNA,Mir6934,ENSMUSG00000001039
ENSMUSG00000001052,ENSMUSG00000001052.16,chr9,21184753.0,21199265.0,-,protein_coding,Kri1,ENSMUSG00000001052
ENSMUSG00000001053,ENSMUSG00000001053.16,chr15,3775374.0,3776357.0,-,processed_pseudogene,Gm4823,ENSMUSG00000001053
ENSMUSG00000001054,ENSMUSG00000001054.10,chr15,75851721.0,75854304.0,-,protein_coding,Ccdc166,ENSMUSG00000001054
ENSMUSG00000001056,ENSMUSG00000001056.4,chr6,86261869.0,86262876.0,+,processed_pseudogene,Gm7545,ENSMUSG00000001056
ENSMUSG00000001062,ENSMUSG00000001062.19,chrX,156540423.0,156581015.0,-,lncRNA,Gm15169,ENSMUSG00000001062
ENSMUSG00000001065,ENSMUSG00000001065.16,chr3,30740234.0,30746515.0,+,lncRNA,Gm15462,ENSMUSG00000001065
ENSMUSG00000001076,ENSMUSG00000001076.8,chr9,37734433.0,37734667.0,+,unprocessed_pseudogene,Gm47005,ENSMUSG00000001076
ENSMUSG00000001082,ENSMUSG00000001082.13,chr7,103433801.0,103441028.0,-,protein_coding,Or52z1,ENSMUSG00000001082
ENSMUSG00000001089,ENSMUSG00000001089.15,chr7,97373213.0,97387496.0,-,protein_coding,Aqp11,ENSMUSG00000001089
ENSMUSG00000001095,ENSMUSG00000001095.6,chrY,47296338.0,47296865.0,+,lncRNA,Gm28566,ENSMUSG00000001095
ENSMUSG00000001098,ENSMUSG00000001098.16,chr7,82710991.0,82828637.0,+,lncRNA,A530021J07Rik,ENSMUSG00000001098
ENSMUSG00000001100,ENSMUSG00000001100.11,chrY,37764182.0,37767528.0,+,lncRNA,Gm29671,ENSMUSG00000001100
ENSMUSG00000001103,ENSMUSG00000001103.8,chr9,104239012.0,104262244.0,+,lncRNA,Gm28548,ENSMUSG00000001103
ENSMUSG00000001105,ENSMUSG00000001105.16,chr1,106367330.0,106367600.0,+,processed_pseudogene,Gm6651,ENSMUSG00000001105
ENSMUSG00000001119,ENSMUSG00000001119.8,chr6,68098030.0,68098811.0,+,IG_V_gene,Igkv1-117,ENSMUSG00000001119
ENSMUSG00000001120,ENSMUSG00000001120.16,chr13,21899933.0,21900313.0,-,protein_coding,H2bc13,ENSMUSG00000001120
ENSMUSG00000001123,ENSMUSG00000001123.16,chr1,145040689.0,145041681.0,-,processed_pseudogene,Gm6550,ENSMUSG00000001123
ENSMUSG00000001127,ENSMUSG00000001127.13,chr12,54781333.0,54781496.0,-,snRNA,Gm24305,ENSMUSG00000001127
ENSMUSG00000001128,ENSMUSG00000001128.8,chr7,59170032.0,59170110.0,-,snoRNA,Gm22909,ENSMUSG00000001128
